ID;Estrella;Fecha;Magn;Obs;Comp1;Comp2;Carta;Notas
249;EU Del;2457561.4389;6.6;na;68;64;X16231MS;na
250;AF Cyg;2457561.4507;7.4;na;72;76;X16156CJ;na
251;W Cyg;2457561.4556;6.2;na;67;52;X16231NC;na
252;AC Her;2457562.3903;7.6;na;76;74;X16208LJ;na
253;T Her;2457562.3965;<9.7;na;97;na;X16156ANF;na
254;SU Cyg;2457562.4208;6.7;na;67;69;X16242DCF;na
255;khi Cyg;2457562.4257;10.0;na;100;97;X16225DPY;na
256;RT Cyg;2457562.4312;9.1;na;90;95;X16156CI;na
257;R Cyg;2457562.4319;<9.7;na;97;na;X16156CF;na
258;bet Lyr;2457562.4368;3.8;na;38;37;2008;na
259;S Sge;2457562.4361;6.2;na;62;58;X16242DCE;na
260;U Vul;2457562.4396;7.5;na;73;76;X16241DGS;na
261;R Sge;2457562.4528;8.5;na;85;89;X16231KH;na
262;X Cyg;2457562.4556;6.1;na;62;59;X16238ADT;na
263;T Vul;2457562.4590;6.1;na;64;56;X16242DCD;na
264;U Cyg;2457562.4660;8.6;na;88;80;X16156CX;na
265;R Vul;2457562.4715;<9.7;na;97;na;X16231MZ;na
266;S Sge;2457566.4715;5.5;na;55;na;X16242DCE;na
267;U Vul;2457566.4722;7.3;na;73;na;X16241DGS;na
268;T Vul;2457566.4736;5.4;na;56;49;X16242DCD;na
269;X Cyg;2457566.4743;6.1;na;62;59;X16238ADT;na
270;SU Cyg;2457566.4764;6.8;na;65;69;X16242DCF;na
271;SU Cyg;2457567.4306;7.3;na;72;74;X16242DCF;na
272;bet Lyr;2457567.4236;3.3;na;32;34;2008;na
273;X Cyg;2457567.4340;6.4;na;66;62;X16238ADT;na
274;U Vul;2457567.4368;7.2;na;73;70;X16241DGS;na
275;T Vul;2457567.4382;5.9;na;64;56;X16242DCD;na
276;SU Cyg;2457568.4500;6.6;na;65;67;X16242DCF;na
277;T Vul;2457568.4542;6.2;na;64;56;X16242DCD;na
278;S Sge;2457568.4556;5.7;na;55;58;X16242DCE;na
279;U Vul;2457568.4576;7.6;na;76;73;X16241DGS;na
280;X Cyg;2457568.4590;6.4;na;66;62;X16238ADT;na
281;SU Cyg;2457569.4361;6.6;na;65;67;X16242DCF;na
282;S Sge;2457569.4375;5.7;na;55;57;X16242DCE;na
283;U Vul;2457569.4396;7.6;na;76;73;X16241DGS;na
284;T Vul;2457569.4417;6.6;na;64;na;X16242DCD;na
285;X Cyg;2457569.4465;6.9;na;69;66;X16238ADT;na
286;SU Cyg;2457570.4417;7.0;na;69;72;X16242DCF;na
287;S Sge;2457570.4444;5.9;na;62;58;X16242DCE;na
288;T Vul;2457570.4458;5.5;na;56;na;X16242DCD;na
289;U Vul;2457570.4507;7.6;na;76;74;X16241DGS;na
290;X Cyg;2457570.4521;6.9;na;69;66;X16238ADT;na
291;SU Cyg;2457571.4312;7.2;na;72;74;X16242DCF;na
292;AF Cyg;2457571.4319;7.4;na;72;76;X16156CJ;na
293;RT Cyg;2457571.4340;9.1;na;88;95;X16156CI;na
294;X Cyg;2457571.4354;6.9;na;69;72;X16238ADT;na
295;U Vul;2457571.4368;7.5;na;74;76;X16241DGS;na
296;S Sge;2457571.4389;6.2;na;62;58;X16242DCE;na
297;SU Cyg;2457582.3993;7.3;na;72;74;X16242DCF;na
298;S Sge;2457582.4049;5.4;na;55;na;X16242DCE;na
299;U Vul;2457582.4062;7.2;na;73;70;X16241DGS;na
300;T Vul;2457582.4104;6.6;na;64;na;X16242DCD;na
301;X Cyg;2457582.4111;6.2;na;62;na;X16238ADT;na
302;EU Del;2457582.4146;6.0;na;62;na;X16231MS;na
303;SU Cyg;2457583.4222;6.9;na;69;72;X16242DCF;na
304;X Cyg;2457583.4250;6.3;na;62;66;X16238ADT;na
305;T Vul;2457583.4264;6.0;na;64;56;X16242DCD;na
306;S Sge;2457583.4278;5.3;na;55;na;X16242DCE;na
307;U Vul;2457583.4312;7.5;na;73;na;X16241DGS;na
308;SU Cyg;2457584.4139;6.6;na;65;69;X16242DCF;na
309;T Vul;2457584.4167;5.6;na;56;na;X16242DCD;na
310;U Vul;2457584.4174;7.6;na;76;77;X16241DGS;na
311;S Sge;2457584.4181;5.3;na;55;na;X16242DCE;na
312;X Cyg;2457584.4236;6.4;na;66;na;X16238ADT;na
313;SU Cyg;2457587.3903;7.2;U;72;74;X16242DCF;Calima
314;T Vul;2457587.4236;6.2;U;64;na;X16242DCD;Calima
315;S Sge;2457587.4326;6.0;U;62;58;X16242DCE;Calima
316;U Vul;2457587.4340;<7.3;U;73;na;X16241DGS;Calima
317;X Cyg;2457587.4354;7.0;U;69;72;X16238ADT;Calima
318;AF Cyg;2457588.3757;7.6;na;76;na;X16156CJ;na
319;RT Cyg;2457588.3792;9.9;na;99;na;X16156CI;na
320;R Cyg;2457588.3813;<9.7;na;97;na;X16156CF;na
321;U Cyg;2457588.3868;8.6;na;85;88;X16156CX;na
322;Z Cyg;2457588.3903;<9.6;na;96;na;X16275CHP;na
323;SU Cyg;2457588.3924;6.5;na;65;na;X16242DCF;na
324;khi Cyg;2457588.3958;9.2;na;92;93;X16225DPY;na
325;T Vul;2457588.3972;5.3;na;56;na;X16242DCD;na
326;S Sge;2457588.3979;6.2;na;62;58;X16242DCE;na
327;U Vul;2457588.4222;7.3;na;73;na;X16241DGS;na
328;U Del;2457588.4257;6.9;na;68;71;X16231MQ;na
329;EU Del;2457588.4271;6.2;na;62;na;X16231MS;na
330;R Vul;2457588.4354;9.0;na;93;88;X16231MZ;na
331;X Cyg;2457588.4368;6.9;na;69;72;X16238ADT;na
332;W Cyg;2457588.4431;6.4;na;64;65;X16231NC;na
333;SU Cyg;2457590.4333;7.2;L;69;na;X16242DCF;na
334;S Sge;2457590.4375;5.3;na;55;50;X16242DCE;na
335;U Vul;2457590.4396;7.2;na;73;70;X16241DGS;na
336;T Vul;2457590.4417;6.1;na;64;56;X16242DCD;na
337;X Cyg;2457590.4444;7.0;na;72;69;X16238ADT;na
338;SU Cyg;2457591.3833;6.9;na;69;65;X16242DCF;na
339;S Sge;2457591.3847;5.2;na;55;50;X16242DCE;na
340;U Vul;2457591.3875;7.4;na;74;73;X16241DGS;na
341;T Vul;2457591.3896;6.2;na;64;na;X16242DCD;na
342;X Cyg;2457591.4028;6.4;na;62;66;X16238ADT;na
343;SU Cyg;2457592.4007;6.7;na;65;69;X16242DCF;na
344;U Vul;2457592.4028;7.7;na;73;77;X16241DGS;na
345;S Sge;2457592.4042;5.4;na;55;58;X16242DCE;na
346;T Vul;2457592.4069;5.8;na;56;na;X16242DCD;na
347;X Cyg;2457592.4306;6.9;na;69;na;X16238ADT;na
348;SU Cyg;2457593.3937;7.2;na;72;69;X16242DCF;na
349;S Sge;2457593.3958;5.5;na;55;na;X16242DCE;na
350;X Cyg;2457593.3965;6.2;na;62;66;X16238ADT;na
351;T Vul;2457593.4035;5.7;na;56;na;X16242DCD;na
352;U Vul;2457593.4007;7.5;na;73;76;X16241DGS;na
353;R Sge;2457593.4118;9.3;na;94;89;X16231KH;na
354;W Cyg;2457593.4340;6.8;na;68;na;X16231NC;na
355;SU Cyg;2457594.3986;7.1;na;69;72;X16242DCF;na
356;S Sge;2457594.4007;5.7;na;55;58;X16242DCE;na
357;U Vul;2457594.4028;7.5;na;73;76;X16241DGS;na
358;X Cyg;2457594.4062;6.1;na;62;59;X16238ADT;na
359;T Vul;2457594.4583;6.0;na;56;64;X16242DCD;na
360;S Sge;2457595.4035;6.0;na;58;62;X16242DCE;na
361;SU Cyg;2457595.4049;6.7;na;65;69;X16242DCF;na
362;U Vul;2457595.4069;7.3;na;73;na;X16241DGS;na
363;T Vul;2457595.4097;6.2;na;64;na;X16242DCD;na
364;X Cyg;2457595.4132;6.0;na;62;59;X16238ADT;na
365;SU Cyg;2457596.3917;6.8;na;69;67;X16242DCF;na
366;S Sge;2457596.3924;6.0;na;58;62;X16242DCE;na
367;U Vul;2457596.3944;7.1;na;73;70;X16241DGS;na
368;T Vul;2457596.3958;6.1;na;64;na;X16242DCD;na
369;X Cyg;2457596.3958;6.1;na;62;59;X16238ADT;na
370;SU Cyg;2457597.3771;7.2;na;72;69;X16242DCF;na
371;S Sge;2457597.3840;5.8;na;58;na;X16242DCE;na
372;T Vul;2457597.3854;5.4;na;56;na;X16242DCD;na
373;U Vul;2457597.3819;7.2;na;70;73;X16241DGS;na
374;X Cyg;2457597.3882;6.4;na;64;66;X16238ADT;na
375;SU Cyg;2457598.3972;7.2;na;72;na;X16242DCF;na
376;S Sge;2457598.4007;5.4;na;55;na;X16242DCE;na
377;T Vul;2457598.4083;6.1;na;64;56;X16242DCD;na
378;U Vul;2457598.4049;7.2;na;70;73;X16241DGS;na
379;X Cyg;2457598.4097;6.1;na;62;59;X16238ADT;na
380;SU Cyg;2457599.3743;6.3;na;65;na;X16242DCF;na
381;U Vul;2457599.3757;7.2;na;73;70;X16241DGS;na
382;khi Cyg;2457599.3813;8.7;na;88;85;X16225DPY;na
383;S Sge;2457599.3833;5.3;na;55;na;X16242DCE;na
384;T Vul;2457599.3868;6.2;na;64;na;X16242DCD;na
385;X Cyg;2457599.3896;6.3;na;62;66;X16238ADT;na
386;W Cyg;2457599.3937;6.8;na;68;na;X16231NC;na
387;U Cyg;2457599.4007;9.0;na;85;97;X16156CX;na
388;khi Cyg;2457619.3778;6.4;na;64;62;X16225DPY;na
389;W Cyg;2457619.3826;6.6;na;68;65;X16231NC;na
390;U Del;2457619.3854;7.0;na;71;68;X16231MQ;na
391;EU Del;2457619.3889;6.0;na;62;na;X16231MS;na
392;SS Cyg;2457630.3833;<10.3;na;103;na;X16210BCY;na
393;RS And;2457630.3854;9.0;na;88;97;X16418NH;na
394;V Cas;2457630.3889;8.6;na;85;88;X16418JL;na
395;V465 Cas;2457630.3965;6.5;na;64;67;X16317BAE;na
396;WZ Cas;2457630.4014;7.3;na;73;na;X16317BAC;na
397;EG And;2457630.4194;7.7;na;76;na;X16418MY;na
398;R Tri;2457630.4424;<10.2;na;102;na;X16413NQ;na
399;W Tri;2457630.4479;8.0;na;80;na;X16413NQ;na
400;Z Lac;2457631.3882;8.0;na;83;76;X16352QI;na
401;RR Lac;2457631.3882;8.5;na;88;83;X16352QI;na
402;SS Cyg;2457631.3750;<10.3;na;103;na;X16210BCY;na
403;khi Cyg;2457632.3292;5.4;na;50;55;X16225DPY;na
404;SS Cyg;2457633.3250;8.9;na;86;91;X16210BCY;na
405;W Cyg;2457633.3264;6.0;na;65;66;X16231NC;na
406;SS Cyg;2457634.3250;8.6;na;86;na;X16210BCY;na
407;SS Cyg;2457646.3194;9.8;na;98;na;X16210BCY;na
408;SS Cyg;2457648.3250;<10.3;na;103;na;X16210BCY;na
409;khi Cyg;2457648.4764;4.7;na;50;na;X16225DQB;na
410;R Tri;2457650.4764;9.0;na;94;86;X16413NQ;na
411;W Tri;2457650.4792;8.3;na;80;86;X16413NQ;na
412;RR Lac;2457652.3090;9.0;na;88;91;X16352QI;na
413;Z Lac;2457652.3125;8.3;na;83;84;X16352QI;na
414;EG And;2457652.3368;7.4;na;73;76;X16418MY;na
